"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","2,480.65","2,565.00","2,649.75","2,459.85","15.80M","-2.78%"
"06/01/2024","2,551.65","2,374.80","2,614.45","2,327.45","16.54M","8.35%"
"05/01/2024","2,354.90","2,510.05","2,549.00","2,348.70","9.41M","-6.08%"
"04/01/2024","2,507.40","2,622.35","2,642.60","2,410.00","24.84M","-4.38%"
"03/01/2024","2,622.35","2,596.20","2,653.65","2,468.15","19.02M","1.01%"
"02/01/2024","2,596.20","2,510.00","2,606.20","2,409.10","16.30M","3.56%"
"01/01/2024","2,507.00","26,680.05","27,678.30","2,446.40","7.65M","-5.68%"
"12/01/2023","2,658.03","2,433.99","2,665.00","2,413.86","20.24M","9.67%"
"11/01/2023","2,423.61","2,420.00","2,458.99","2,377.31","12.15M","0.01%"
"10/01/2023","2,423.48","2,250.69","2,474.50","2,225.51","18.79M","7.68%"
"09/01/2023","2,250.69","2,205.00","2,306.29","2,163.25","10.83M","2.37%"
"08/01/2023","2,198.64","2,260.83","2,293.82","2,145.00","13.25M","-2.51%"
"07/01/2023","2,255.33","2,295.00","2,339.53","2,207.61","11.24M","-1.49%"
"06/01/2023","2,289.43","2,178.60","2,317.53","2,157.28","13.86M","5.63%"
"05/01/2023","2,167.31","2,180.00","2,230.00","2,127.50","17.42M","-0.41%"
"04/01/2023","2,176.14","1,978.40","2,184.96","1,936.49","14.62M","10.44%"
"03/01/2023","1,970.45","1,870.00","1,975.19","1,788.00","12.56M","5.54%"
"02/01/2023","1,867.00","1,910.00","1,979.98","1,846.02","12.56M","-1.83%"
"01/01/2023","1,901.78","1,961.66","2,018.90","1,892.90","8.80M","-3.00%"
"12/01/2022","1,960.60","2,019.00","2,063.59","1,955.27","12.57M","-2.86%"
"11/01/2022","2,018.38","2,039.95","2,084.24","1,944.00","12.36M","-0.88%"
"10/01/2022","2,036.34","1,911.75","2,105.00","1,841.03","11.11M","6.37%"
"09/01/2022","1,914.48","1,970.00","2,005.00","1,826.73","14.38M","-3.92%"
"08/01/2022","1,992.59","1,944.20","2,015.00","1,905.00","10.66M","2.93%"
